a matter of speculation 	n. 推断	supposition
a solicitation of 	n. 垦求;垦请	an invitation of
abandoned	a. 被遗弃的	left
aberrant	a. 脱离常轨的,	abnormal
abort	v. 夭折;中止	quit
abrupt	adj.突然的	sudden
abruptly	ad. 突然地;意外地	suddenly
absorb 	v. 吸收;被…吸引	appeal
absorb	v. 吸收;被…吸引	take in
abstract	a. 抽象的;非实际的	not concrete
absurd	a. 荒谬的;可笑的	ridiculous
abundance	n. 大量	great number
abundance	n. 大量	large amount
abundant 	a. 丰富的;大量的	affluent
abundant	a. 丰富的;大量的	ample
abundant	a. 丰富的;大量的	numerous
abundant	a. 丰富的;大量的	plentiful
abundant	a. 丰富的;大量的	substantial
abundant	adj.丰富的	ample
abundantly	ad. 丰富地;大量地	plentifully
access 	v. 接近	reach
accessible 	a. 易接近的	easy to reach
accessible 	a. 可接近的	reachable
accidental 	a. 意外的;偶然的	unexpected
accommodate	v. 提供	provide for
accomplished 	a. 实现完成的	achieved
accomplished 	a. 熟练的	skilled
account for	v. 说明	explain
account	n. 说明	description
accumulate 	v. 积累;聚集	collect
accumulate 	v. 积累;聚集聚集	pile up
accumulate	v. 积累	build up
accurate 	a. 正确的	correct
accurately	ad. 正确地	correctly
acknowledge	v. 承认	recognize
actually	ad. 事实上	in fact
added 	a. 附加的;额外的	extra
adept 	a. 熟练的	skilled
adherent	n. 拥护者	supporter
adherent	n.追随者，提倡者	advocate
adjacent 	a. 毗连的	nearby
adjacent 	a. 毗连的	neighboring
adjust	v. 调整;改变…以适应	modify
administer 	v. 管理	manage
admit	v. 准许进入	let in
adopt	v. 采用	enact
advance	n. 发展;增长	improvement
advent	n. 出现;到来	arrival
advent	n. 出现;到来	beginning
affair	n. 事件;事情	matter
afford	v. 提供;给予	provide
aggravate 	v. 使恼火	annoy
aggravate	v. 加重;增剧	increase
aggregate	a. 聚集的;合计的	combined
aggregate	a. 聚集的;合计的	overall
aggregation	n.聚合，聚集；聚集体，集合体	group
agile	a. 灵活的;敏捷的	astute
agile	a. 灵活的;敏捷的	clever
agile	a. 灵活的;敏捷的	move and act quickly
agile	a. 灵活的;敏捷的	quick and active
air	n. 气氛	feeling
alarm	v. 警报	sound
alarm	n. 警告	warning
albeit 	conj. 尽管；虽然	even though
albeit	conj. 尽管；虽然	although
allow	v. 允许	enable
allude to	phrv. 提到	refer to
allude	v. 暗示	suggest
ally with	v. 结盟	link to
alter	v. 改变	change to
amazing	a. 令人惊讶的/非凡的	remarkable
