primarily,"ad. 主要地,首先地,基本地"
observation,"n. 观察,注目,观测"
context,"n. 上下文,背景,来龙去脉 n. 上下文"
emphasize,"vt. 强调,加强语气,着重"
critic,"n. 批评家,鉴定家"
reproduce,"v. 繁殖,再生,复制,生殖"
species,"n. 种,类,外形"
reveal,"vt. 露出,显示,透露,泄露n.窗侧,门侧"
adapt,"vt. 使适应,改编vi. 适应"
express,"n. 快车,快递,专使a. 急速的,明确的vt.表达,表示"
museum,n. 博物馆
role,"n. 角色,职责,任务"
approach,"n. 接近,门径vt. 接近,动手处理vi. 靠近"
ability,"n. 能力,才干"
recognize,"vt. 认出,认可,赏识,公认vi. 具结"
subject,"n. 科目,主题,学科a. 服从的vt.使隶属"
process,"n. 程序,进行,过程vt.加工 a. 经加工的"
illustrate,"vt. 举例说明,作图解,阐明vi. 举例"
imply,"vt. 暗示,意味"
establish,"vt. 建立,确立,制定vi. 移植生长"
assignment,"n. 分配,功课,任务"
actually,"ad. 事实上,如今,现在"
narrator,"n.叙述者,讲述者,讲故事的人"
poetry,"n. 诗,韵文,诗歌"
community,"n. 社区,公众,共有,共同体"
argument,"n. 争论,引数,要旨"
evidence,"n. 证据,迹象"
generation,"n. 一代,一世,产生"
artistic,"a. 艺术的,风雅的"
response,"n. 反应,回答,响应v. 应答"
criticize,"v. 批评,吹毛求疵,非难"
economic,"a. 经济上的,实用的,节省的"
contrast,"n. 差别,对比,对照物vt.使对比"
despite,"n. 轻视,憎恨prep. 虽然"
unique,"a. 独一无二的,独特的"
criticism,"n. 批评,评论,非难"
tone,"n. 音调,语调,色调,品质,气氛vt.调和,增强"
effective,"a. 有效的,有力的,实际的n. 有生力量"
hypothesis,n. 假设
perspective,"n. 远景,看法,透视a. 透视的n. 透视"
involve,"vt. 包括,使陷于,潜心于,包围"
landscape,"n. 风景,山水,风景画vt.使自然美化"
convey,"vt. 传达,运输,转移"
occur,"vi. 发生,想到,存在"
tradition,"n. 传说,传统,交付,引渡,惯例"
pepper,n. 胡椒粉
fiction,"n. 小说,虚构的故事,法律的拟制"
explore,"v. 探险,探测,探究"
standard,"n. 标准,规格,本位,军旗a.标准的,合规格的"
expression,"n. 表达,语法,措辞"
reference,"n. 参考,索引,参照v.引用"
reflect,"vt. 反射,招致,想到,思考vi.反射,映出,思考"
prove,"vt. 证明,查验,显示,勘探vi.证明是"
perform,"vt. 履行,完成,执行,表演vi.行动,演出"
assumption,"n. 假定,假装,视为当然之事"
desire,"n. 欲望,要求vt. 想要,请求vi.愿望"
prefer,"vt.宁可,较喜欢,提出"
decision,"n. 决定,决心,决断力"
photograph,"n. 相片,照片v. 照相,摄影"
deal,"n. 交易,协定,买卖,分量v.处理,应付,做生意,发牌"
appearance,"n. 外表,出现,登台n. 外观,版面"
impact,"n. 冲击,冲突,影响,效果vt.挤入,撞击,压紧"
comparison,"n. 比较,对照,比喻"
cite,"vt. 引用,引证,例证"
increasingly,"ad. 逐渐地,渐增地"
notion,"n. 概念,观念,主张,打算,想法"
rarely,"ad. 很少地,罕有地"
comic,"n. 连环图画,喜剧演员,杂耍滑稽演员a.滑稽的"
creative,"a. 有创造力的,创作的,生产的"
ignore,"vt.不理睬,忽视,驳回v. 忽略"
principle,"n. 原则,原理,主义"
excerpt,"n. 摘录,引用vt. 摘录,引用"
opportunity,"n. 机会,时机"
professional,"n. 专业人才a. 专业的,职业的"
significant,"a. 重要的,有含义的,非偶然的,有效的,暗示的"
demonstrate,"vt. 示范,证明vi. 示威"
feature,"n. 特征,容貌,特色,特写vt.是...的特色,特写"
genetic,"a. 遗传的,起源的"
identify,"vt. 识别,认明,鉴定,使等同于vi. 一致,变成一致"
maintain,"vt. 维持,维修,保持,主张,供养,坚持"
medieval,"a. 中古的,中世纪的"
portion,"n. 部分,一份,命运,嫁妆vt. 将...分配,分配"
appreciate,"vt. 赏识,鉴赏,感激,欣赏vi. 增值,涨价"
differ,"vi. 不一致,不同"
viewer,"n. 1 看者,观察者,参观者,看电视的人,幻灯机"
acquire,"vt. 获得,学到"
achievement,"n. 成就,完成,功业"
moral,"n. 道德,品行,寓意a. 道德的,良心的"
conventional,"a. 传统的,习惯的,约定的"
authority,"n. 权威,专家,威信"
universe,"n. 宇宙,星系,思想等范围"
conclusion,"n. 结论,结尾,断案"
population,"n. 人口,人口数"
specific,"n. 特效药,特性a. 特殊的,明确的,具体的"
identity,"n. 相同,身份,恒等式,特性,一致"
